"Title:","Regular Grade from the Retail Gasoline Prices Database"
"SubTitle:","USA"
"Time:","09/1990 - 10/2022"
"Unit of Measure:","$/Gal"
"Citation:","Energy Information Administration (2022-11-06). Retail Gasoline Prices: Regular Grade, 09/1990 - 10/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  004-004-004 doi:https://doi.org/10.6068/DP1845F73427020"
"ColumnCount:",2
"RowCount:",384

"Time","Regular Grade ($/Gal)"
"07/2015",2.79
"08/2015",2.64
"09/2015",2.37
"10/2015",2.29
"11/2015",2.16
"12/2015",2.04
"01/2016",1.95
"02/2016",1.76
"03/2016",1.97
"04/2016",2.11
"05/2016",2.27
"06/2016",2.37
"07/2016",2.24
"08/2016",2.18
"09/2016",2.22
"10/2016",2.25
"11/2016",2.18
"12/2016",2.25
"01/2017",2.35
"02/2017",2.3
"03/2017",2.33
"04/2017",2.42
"05/2017",2.39
"06/2017",2.35
"07/2017",2.3
"08/2017",2.38
"09/2017",2.65
"10/2017",2.51
"11/2017",2.56
"12/2017",2.48
"01/2018",2.56
"02/2018",2.59
"03/2018",2.59
"04/2018",2.76
"05/2018",2.9
"06/2018",2.89
"07/2018",2.85
"08/2018",2.84
"09/2018",2.84
"10/2018",2.86
"11/2018",2.65
"12/2018",2.37
"01/2019",2.25
"02/2019",2.31
"03/2019",2.52
"04/2019",2.8
"05/2019",2.86
"06/2019",2.72
"07/2019",2.74
"08/2019",2.62
"09/2019",2.59
"10/2019",2.63
"11/2019",2.6
"12/2019",2.56
"01/2020",2.55
"02/2020",2.44
"03/2020",2.23
"04/2020",1.84
"05/2020",1.87
"06/2020",2.08
"07/2020",2.18
"08/2020",2.18
"09/2020",2.18
"10/2020",2.16
"11/2020",2.11
"12/2020",2.19
"01/2021",2.33
"02/2021",2.5
"03/2021",2.81
"04/2021",2.86
"05/2021",2.99
"06/2021",3.06
"07/2021",3.14
"08/2021",3.16
"09/2021",3.18
"10/2021",3.29
"11/2021",3.4
"12/2021",3.31
"01/2022",3.32
"02/2022",3.52
"03/2022",4.22
"04/2022",4.11
"05/2022",4.44
"06/2022",4.93
"07/2022",4.56
"08/2022",3.98
"09/2022",3.7
"10/2022",3.82



"Publisher:", "Energy Information Administration"
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."
